year,old_name,new_name,reversed,
2004,jlb507,snspouse,NA,
2004,jlb510,snchild,NA,
2004,jlb514,snfamily,NA,
2004,jlb518,snfriends,NA,
2004,jlb509,closespouse,NA,
2004,jlb513,closechild,NA,
2004,jlb517,closefam,NA,
2004,jlb521,closefri,NA,
2006,klb004,snspouse,NA,
2006,klb007,snchild,NA,
2006,klb011,snfamily,NA,
2006,klb015,snfriends,NA,
2006,klb006,closespouse,NA,
2006,klb010,closechild,NA,
2006,klb014,closefam,NA,
2006,klb018,closefri,NA,
2008,llb004,snspouse,NA,
2008,llb007,snchild,NA,
2008,llb011,snfamily,NA,
2008,llb015,snfriends,NA,
2008,llb006,closespouse,NA,
2008,llb010,closechild,NA,
2008,llb014,closefam,NA,
2008,llb018,closefri,NA,
2010,mlb004,snspouse,NA,
2010,mlb007,snchild,NA,
2010,mlb011,snfamily,NA,
2010,mlb015,snfriends,NA,
2010,mlb006,closespouse,NA,
2010,mlb010,closechild,NA,
2010,mlb014,closefam,NA,
2010,mlb018,closefri,NA,
2012,nlb004,snspouse,NA,
2012,nlb007,snchild,NA,
2012,nlb011,snfamily,NA,
2012,nlb015,snfriends,NA,
2012,nlb006,closespouse,NA,
2012,nlb010,closechild,NA,
2012,nlb014,closefam,NA,
2012,nlb018,closefri,NA,
2014,olb003,snspouse,NA,"Do you have a husband, wife, or partner with whom you live?"
2014,olb006,snchild,NA,Do you have any living children?
2014,olb010,snfamily,NA,"Do you have any OTHER IMMEDIATE FAMILY, for example, any brothers or sisters, parents, cousins or grandchildren?"
2014,olb014,snfriends,NA,Do you have any friends?
2014,olb005,closespouse,NA,How close is your relationship with your partner or spouse?
2014,olb009,closechild,NA,How many of your children would you say you have a close relationship with?
2014,olb013,closefam,NA,How many of these family members would you say you have a close relationship with?
2014,olb017,closefri,NA,How many of your friends would you say you have a close relationship with?